fecha,R,G,B,Intensidad,R_norm,G_norm,B_norm,RG_ratio,RB_ratio,BG_ratio,Etiqueta
2025-10-20 14:56:21,1664.307283296629,1240.8082122888502,1357.7534273181943,4262.868922903674,0.39,0.291,0.319,1.341,1.226,1.094,0
2025-10-20 14:56:22,1668.1132675787464,1244.545198284943,1360.4839520589046,4273.142417922594,0.39,0.291,0.318,1.34,1.226,1.093,0
2025-10-20 14:56:23,1770.0099170763615,1280.2344179232036,1457.722170090015,4507.96650508958,0.393,0.284,0.323,1.383,1.214,1.139,0
2025-10-20 14:56:24,1823.7293736548036,1360.7929272447077,1499.4383769773885,4683.960677876899,0.389,0.291,0.32,1.34,1.216,1.102,0
2025-10-20 14:56:25,1808.2403914552392,1312.6684922932477,1437.7595338075241,4558.668417556011,0.397,0.288,0.315,1.378,1.258,1.095,0
2025-10-20 14:56:26,1768.4427110783176,1258.9269581138476,1435.5942703609262,4462.963939553091,0.396,0.282,0.322,1.405,1.232,1.14,0
2025-10-20 14:56:27,1723.8518762073074,1228.8660035451123,1428.456023839932,4381.173903592352,0.393,0.28,0.326,1.403,1.207,1.162,0
2025-10-20 14:56:28,1823.0159730522655,1314.540382988059,1462.6275870486286,4600.183943088953,0.396,0.286,0.318,1.387,1.246,1.113,0
2025-10-20 14:56:29,1825.5153203342618,1273.7610276811881,1455.0419759938943,4554.318324009344,0.401,0.28,0.319,1.433,1.255,1.142,0
2025-10-20 14:56:30,1840.4142167617376,1334.448156278833,1488.3446293602071,4663.207002400778,0.395,0.286,0.319,1.379,1.237,1.115,0
2025-10-20 14:56:31,1855.4762220747623,1314.3138268703485,1583.95166163142,4753.741710576531,0.39,0.276,0.333,1.412,1.171,1.205,0
2025-10-20 14:56:32,2221.3828350501813,1548.9711204667997,1703.478190236374,5473.832145753355,0.406,0.283,0.311,1.434,1.304,1.1,0
2025-10-20 14:56:33,2160.731525126858,1413.7229721758767,1571.2534651981719,5145.707962500906,0.42,0.275,0.305,1.528,1.375,1.111,0
2025-10-20 14:56:34,1883.5143813009408,1411.9145641526266,1622.554738878143,4917.983684331711,0.383,0.287,0.33,1.334,1.161,1.149,0
2025-10-20 14:56:35,2081.3855048011314,1474.7645083595576,1613.16282379185,5169.312836952539,0.403,0.285,0.312,1.411,1.29,1.094,0
2025-10-20 14:56:36,2035.4770455207222,1423.7284453496266,1563.1723315444247,5022.377822414774,0.405,0.283,0.311,1.43,1.302,1.098,0
2025-10-20 14:56:37,2003.0105062082139,1404.0451243597897,1562.2407628128724,4969.296393380876,0.403,0.283,0.314,1.427,1.282,1.113,0
2025-10-20 14:56:38,2017.4622414622415,1404.13913159921,1560.2068221552654,4981.808195216717,0.405,0.282,0.313,1.437,1.293,1.111,0
2025-10-20 14:56:39,2045.0043881033641,1412.1522482029527,1547.4566953826854,5004.613331689002,0.409,0.282,0.309,1.448,1.322,1.096,0
2025-10-20 14:56:40,1999.572845156369,1419.3682001996583,1553.4171589415012,4972.358204297529,0.402,0.285,0.312,1.409,1.287,1.094,0
2025-10-20 14:56:41,1946.7192685247499,1364.2453121696565,1584.0713044791903,4895.035885173596,0.398,0.279,0.324,1.427,1.229,1.161,0
2025-10-20 14:56:42,1991.5500581657604,1451.2660461575724,1658.581568697234,5101.397673020567,0.39,0.284,0.325,1.372,1.201,1.143,0
2025-10-20 14:56:43,2189.436759409093,1470.6535764375876,1650.4885391047712,5310.578874951452,0.412,0.277,0.311,1.489,1.327,1.122,0
2025-10-20 14:56:44,2173.890328599565,1456.7855096122119,1638.6880506339005,5269.363888845677,0.413,0.276,0.311,1.492,1.327,1.125,0
2025-10-20 14:56:45,2398.1154945683247,1674.9077549716476,1798.0468984438633,5871.070147983835,0.408,0.285,0.306,1.432,1.334,1.074,0
2025-10-20 14:56:46,2313.077813930403,1610.3756886986237,1836.8276073485297,5760.281109977556,0.402,0.28,0.319,1.436,1.259,1.141,0
2025-10-20 14:56:47,2380.219618080186,1675.7107471034758,1818.6684010840108,5874.5987662676725,0.405,0.285,0.31,1.42,1.309,1.085,0
2025-10-20 14:56:48,2151.8631198214607,1453.2522564662265,1143.797109353695,4748.912485641383,0.453,0.306,0.241,1.481,1.881,0.787,0
2025-10-20 14:56:49,2895.2191620073168,1929.5245543415756,2156.454498714653,6981.198215063545,0.415,0.276,0.309,1.5,1.343,1.118,0
2025-10-20 14:56:50,2864.7660678915377,1939.203846687318,2049.451027338692,6853.420941917548,0.418,0.283,0.299,1.477,1.398,1.057,0
2025-10-20 14:56:51,3302.991691932118,2325.2600066526225,2596.4491766745077,8224.700875259248,0.402,0.283,0.316,1.42,1.272,1.117,0
2025-10-20 14:56:52,3671.806005427646,2549.1090312386045,2530.5001508295627,8751.415187495813,0.42,0.291,0.289,1.44,1.451,0.993,0
2025-10-20 14:56:53,3777.1209869872573,2507.50523106355,2637.927044025157,8922.553262075964,0.423,0.281,0.296,1.506,1.432,1.052,0
2025-10-20 14:56:54,3480.0282099149554,2259.9838353359555,2460.074488987947,8200.086534238857,0.424,0.276,0.3,1.54,1.415,1.089,0
